[433.832, 1659]
[434.226, 1662]
[434.619, 1650]
[435.012, 1654]
[435.405, 1655]
[435.798, 1653]
[436.191, 1644]
[436.585, 1650]
[436.978, 1659]
[437.371, 1649]
[437.765, 1655]
[438.158, 1657]
[438.551, 1655]
[438.944, 1660]
[439.338, 1653]
[439.731, 1652]
[440.124, 1653]
[440.518, 1646]
[440.911, 1657]
[441.305, 1657]
[441.698, 1655]
[442.091, 1651]
[442.485, 1647]
[442.878, 1650]
[443.272, 1649]
[443.665, 1646]
[444.059, 1651]
[444.452, 1656]
[444.845, 1653]
[445.239, 1655]
[445.633, 1653]
[446.026, 1657]
[446.42, 1645]
[446.813, 1653]
[447.207, 1650]
[447.6, 1646]
[447.994, 1660]
[448.388, 1662]
[448.781, 1652]
[449.175, 1653]
[449.568, 1647]
[449.962, 1646]
[450.356, 1655]
[450.749, 1655]
[451.143, 1647]
[451.537, 1654]
[451.931, 1659]
[452.324, 1659]
[452.718, 1655]
[453.112, 1663]
[453.506, 1655]
[453.899, 1659]
[454.293, 1657]
[454.687, 1658]
[455.081, 1661]
[455.475, 1655]
[455.868, 1649]
[456.262, 1652]
[456.656, 1653]
[457.05, 1653]
[457.444, 1651]
[457.838, 1650]
[458.232, 1649]
[458.626, 1653]
[459.02, 1649]
[459.414, 1649]
[459.808, 1648]
[460.202, 1654]
[460.596, 1650]
[460.99, 1655]
[461.384, 1654]
[461.778, 1655]
[462.172, 1661]
[462.566, 1657]
[462.96, 1659]
[463.354, 1654]
[463.748, 1655]
[464.142, 1653]
[464.536, 1654]
[464.931, 1654]
[465.325, 1653]
[465.719, 1647]
[466.113, 1649]
[466.507, 1651]
[466.902, 1657]
[467.296, 1655]
[467.69, 1652]
[468.084, 1663]
[468.478, 1655]
[468.873, 1658]
[469.267, 1653]
[469.661, 1651]
[470.056, 1651]
[470.45, 1646]
[470.844, 1644]
[471.239, 1656]
[471.633, 1659]
[472.027, 1657]
[472.422, 1658]
[472.816, 1661]
[473.211, 1649]
[473.605, 1651]
[474, 1650]
[474.394, 1648]
[474.788, 1648]
[475.183, 1662]
[475.577, 1653]
[475.972, 1661]
[476.366, 1653]
[476.761, 1649]
[477.155, 1659]
[477.55, 1659]
[477.945, 1649]
[478.339, 1650]
[478.734, 1648]
[479.128, 1651]
[479.523, 1659]
[479.918, 1670]
[480.312, 1649]
[480.707, 1656]
[481.102, 1653]
[481.496, 1652]
[481.891, 1642]
[482.286, 1643]
[482.68, 1648]
[483.075, 1655]
[483.47, 1659]
[483.865, 1654]
[484.259, 1648]
[484.654, 1653]
[485.049, 1651]
[485.444, 1651]
[485.839, 1648]
[486.234, 1650]
[486.628, 1656]
[487.023, 1664]
[487.418, 1659]
[487.813, 1659]
[488.208, 1655]
[488.603, 1651]
[488.998, 1648]
[489.393, 1658]
[489.788, 1652]
[490.183, 1654]
[490.578, 1651]
[490.973, 1650]
[491.368, 1657]
[491.763, 1658]
[492.158, 1657]
[492.553, 1658]
[492.948, 1653]
[493.343, 1649]
[493.738, 1653]
[494.133, 1651]
[494.528, 1651]
[494.923, 1654]
[495.318, 1648]
[495.714, 1659]
[496.109, 1659]
[496.504, 1650]
[496.899, 1648]
[497.294, 1648]
[497.689, 1650]
[498.085, 1646]
[498.48, 1653]
[498.875, 1651]
[499.27, 1655]
[499.666, 1663]
[500.061, 1657]
[500.456, 1661]
[500.852, 1661]
[501.247, 1647]
[501.642, 1649]
[502.038, 1646]
[502.433, 1642]
[502.828, 1650]
[503.224, 1653]
[503.619, 1650]
[504.015, 1657]
[504.41, 1657]
[504.806, 1653]
[505.201, 1659]
[505.596, 1655]
[505.992, 1650]
[506.387, 1648]
[506.783, 1656]
[507.178, 1652]
[507.574, 1653]
[507.97, 1664]
[508.365, 1655]
[508.761, 1660]
[509.156, 1654]
[509.552, 1653]
[509.947, 1651]
[510.343, 1654]
[510.739, 1642]
[511.134, 1658]
[511.53, 1652]
[511.926, 1657]
[512.321, 1660]
[512.717, 1655]
[513.113, 1659]
[513.509, 1658]
[513.904, 1663]
[514.3, 1646]
[514.696, 1656]
[515.092, 1651]
[515.487, 1656]
[515.883, 1655]
[516.279, 1659]
[516.675, 1664]
[517.071, 1657]
[517.467, 1656]
[517.862, 1654]
[518.258, 1657]
[518.654, 1659]
[519.05, 1649]
[519.446, 1655]
[519.842, 1643]
[520.238, 1650]
[520.634, 1660]
[521.03, 1657]
[521.426, 1653]
[521.822, 1663]
[522.218, 1651]
[522.614, 1655]
[523.01, 1655]
[523.406, 1651]
[523.802, 1658]
[524.198, 1659]
[524.594, 1647]
[524.99, 1658]
[525.387, 1652]
[525.783, 1655]
[526.179, 1657]
[526.575, 1657]
[526.971, 1652]
[527.367, 1654]
[527.764, 1655]
[528.16, 1649]
[528.556, 1646]
[528.952, 1650]
[529.348, 1650]
[529.745, 1656]
[530.141, 1661]
[530.537, 1657]
[530.934, 1661]
[531.33, 1660]
[531.726, 1649]
[532.123, 1655]
[532.519, 1655]
[532.915, 1658]
[533.312, 1656]
[533.708, 1653]
[534.104, 1650]
[534.501, 1649]
[534.897, 1647]
[535.294, 1653]
[535.69, 1659]
[536.087, 1656]
[536.483, 1652]
[536.88, 1657]
[537.276, 1649]
[537.673, 1650]
[538.069, 1652]
[538.466, 1655]
[538.862, 1656]
[539.259, 1656]
[539.655, 1662]
[540.052, 1652]
[540.449, 1659]
[540.845, 1657]
[541.242, 1653]
[541.639, 1649]
[542.035, 1648]
[542.432, 1642]
[542.829, 1645]
[543.225, 1649]
[543.622, 1654]
[544.019, 1660]
[544.416, 1653]
[544.812, 1649]
[545.209, 1659]
[545.606, 1661]
[546.003, 1654]
[546.4, 1654]
[546.796, 1662]
[547.193, 1652]
[547.59, 1645]
[547.987, 1649]
[548.384, 1651]
[548.781, 1653]
[549.178, 1656]
[549.574, 1654]
[549.971, 1655]
[550.368, 1653]
[550.765, 1651]
[551.162, 1659]
[551.559, 1651]
[551.956, 1656]
[552.353, 1659]
[552.75, 1652]
[553.147, 1658]
[553.544, 1645]
[553.941, 1651]
[554.338, 1657]
[554.735, 1659]
[555.133, 1661]
[555.53, 1657]
[555.927, 1650]
[556.324, 1652]
[556.721, 1648]
[557.118, 1651]
[557.515, 1643]
[557.913, 1649]
[558.31, 1648]
[558.707, 1648]
[559.104, 1656]
[559.502, 1661]
[559.899, 1659]
[560.296, 1661]
[560.693, 1657]
[561.091, 1653]
[561.488, 1659]
[561.885, 1650]
[562.283, 1651]
[562.68, 1653]
[563.077, 1650]
[563.475, 1652]
[563.872, 1657]
[564.269, 1648]
[564.667, 1652]
[565.064, 1654]
[565.462, 1650]
[565.859, 1655]
[566.257, 1667]
[566.654, 1655]
[567.052, 1655]
[567.449, 1651]
[567.847, 1655]
[568.244, 1643]
[568.642, 1654]
[569.039, 1650]
[569.437, 1650]
[569.834, 1656]
