[489.393, 2032]
[489.788, 2043]
[490.183, 2052]
[490.578, 2053]
[490.973, 2052]
[491.368, 2061]
[491.763, 2057]
[492.158, 2069]
[492.553, 2060]
[492.948, 2072]
[493.343, 2089]
[493.738, 2069]
[494.133, 2066]
[494.528, 2072]
[494.923, 2077]
[495.318, 2076]
[495.714, 2076]
[496.109, 2088]
[496.504, 2066]
[496.899, 2110]
[497.294, 2094]
[497.689, 2101]
[498.085, 2092]
[498.48, 2125]
[498.875, 2107]
[499.27, 2109]
[499.666, 2103]
[500.061, 2130]
[500.456, 2119]
[500.852, 2122]
[501.247, 2126]
[501.642, 2137]
[502.038, 2141]
[502.433, 2155]
[502.828, 2153]
[503.224, 2147]
[503.619, 2144]
[504.015, 2161]
[504.41, 2163]
[504.806, 2163]
[505.201, 2158]
[505.596, 2145]
[505.992, 2152]
[506.387, 2173]
[506.783, 2174]
[507.178, 2177]
[507.574, 2172]
[507.97, 2157]
[508.365, 2193]
[508.761, 2199]
[509.156, 2193]
[509.552, 2208]
[509.947, 2211]
[510.343, 2211]
[510.739, 2203]
[511.134, 2204]
[511.53, 2221]
[511.926, 2223]
[512.321, 2213]
[512.717, 2226]
[513.113, 2218]
[513.509, 2262]
[513.904, 2251]
[514.3, 2227]
[514.696, 2257]
[515.092, 2236]
[515.487, 2248]
[515.883, 2250]
[516.279, 2249]
[516.675, 2238]
[517.071, 2272]
[517.467, 2257]
[517.862, 2272]
[518.258, 2265]
[518.654, 2257]
[519.05, 2261]
[519.446, 2285]
[519.842, 2265]
[520.238, 2275]
[520.634, 2291]
[521.03, 2268]
[521.426, 2300]
[521.822, 2316]
[522.218, 2289]
[522.614, 2323]
[523.01, 2304]
[523.406, 2293]
[523.802, 2321]
[524.198, 2325]
[524.594, 2307]
[524.99, 2323]
[525.387, 2325]
[525.783, 2340]
[526.179, 2339]
[526.575, 2334]
[526.971, 2339]
[527.367, 2354]
[527.764, 2340]
[528.16, 2379]
[528.556, 2353]
[528.952, 2365]
[529.348, 2399]
[529.745, 2360]
[530.141, 2357]
[530.537, 2363]
[530.934, 2382]
[531.33, 2381]
[531.726, 2372]
[532.123, 2402]
[532.519, 2400]
[532.915, 2388]
[533.312, 2405]
[533.708, 2397]
[534.104, 2380]
[534.501, 2417]
[534.897, 2409]
[535.294, 2418]
[535.69, 2427]
[536.087, 2438]
[536.483, 2430]
[536.88, 2422]
[537.276, 2429]
[537.673, 2454]
[538.069, 2430]
[538.466, 2428]
[538.862, 2480]
[539.259, 2432]
[539.655, 2438]
[540.052, 2462]
[540.449, 2444]
[540.845, 2441]
[541.242, 2458]
[541.639, 2453]
[542.035, 2492]
[542.432, 2484]
[542.829, 2490]
[543.225, 2499]
[543.622, 2481]
[544.019, 2501]
[544.416, 2486]
[544.812, 2507]
[545.209, 2518]
[545.606, 2529]
[546.003, 2511]
[546.4, 2527]
[546.796, 2512]
[547.193, 2532]
[547.59, 2553]
[547.987, 2520]
[548.384, 2528]
[548.781, 2524]
[549.178, 2555]
[549.574, 2560]
[549.971, 2552]
[550.368, 2551]
[550.765, 2550]
[551.162, 2576]
[551.559, 2531]
[551.956, 2568]
[552.353, 2587]
[552.75, 2558]
[553.147, 2576]
[553.544, 2588]
[553.941, 2592]
[554.338, 2584]
[554.735, 2607]
[555.133, 2607]
[555.53, 2619]
[555.927, 2636]
[556.324, 2588]
[556.721, 2612]
[557.118, 2616]
[557.515, 2631]
[557.913, 2618]
[558.31, 2641]
[558.707, 2652]
[559.104, 2670]
[559.502, 2653]
[559.899, 2662]
[560.296, 2665]
[560.693, 2689]
[561.091, 2675]
[561.488, 2686]
[561.885, 2693]
[562.283, 2729]
[562.68, 2715]
[563.077, 2718]
[563.475, 2697]
[563.872, 2729]
[564.269, 2722]
[564.667, 2716]
[565.064, 2732]
[565.462, 2743]
[565.859, 2736]
[566.257, 2748]
[566.654, 2756]
[567.052, 2743]
[567.449, 2726]
[567.847, 2736]
[568.244, 2739]
[568.642, 2763]
[569.039, 2769]
[569.437, 2734]
[569.834, 2754]
[570.232, 2788]
[570.63, 2789]
[571.027, 2788]
[571.425, 2764]
[571.823, 2785]
[572.22, 2785]
[572.618, 2789]
[573.016, 2782]
[573.413, 2781]
[573.811, 2807]
[574.209, 2798]
[574.606, 2804]
[575.004, 2798]
[575.402, 2812]
[575.8, 2799]
[576.198, 2797]
[576.595, 2828]
[576.993, 2852]
[577.391, 2828]
[577.789, 2822]
[578.187, 2848]
[578.585, 2886]
[578.982, 2833]
[579.38, 2876]
[579.778, 2868]
[580.176, 2879]
[580.574, 2898]
[580.972, 2896]
[581.37, 2916]
[581.768, 2891]
[582.166, 2936]
[582.564, 2940]
[582.962, 2932]
[583.36, 2973]
[583.758, 2952]
[584.156, 2962]
[584.554, 2962]
[584.952, 3001]
[585.35, 2995]
[585.748, 2972]
[586.147, 3005]
[586.545, 2975]
[586.943, 2987]
[587.341, 2999]
[587.739, 3057]
[588.137, 3041]
[588.536, 3040]
[588.934, 3025]
[589.332, 3044]
[589.73, 3042]
[590.129, 3052]
[590.527, 3072]
[590.925, 3066]
[591.323, 3099]
[591.722, 3079]
[592.12, 3077]
[592.518, 3096]
[592.917, 3074]
[593.315, 3077]
[593.713, 3107]
[594.112, 3079]
[594.51, 3117]
[594.909, 3111]
[595.307, 3102]
[595.706, 3080]
[596.104, 3107]
[596.502, 3113]
[596.901, 3108]
[597.299, 3114]
[597.698, 3146]
[598.096, 3163]
[598.495, 3153]
[598.893, 3129]
[599.292, 3185]
[599.691, 3168]
[600.089, 3175]
[600.488, 3177]
[600.886, 3168]
[601.285, 3168]
[601.684, 3194]
