[437.371, 1789]
[437.765, 1802]
[438.158, 1793]
[438.551, 1801]
[438.944, 1801]
[439.338, 1802]
[439.731, 1802]
[440.124, 1812]
[440.518, 1809]
[440.911, 1811]
[441.305, 1805]
[441.698, 1811]
[442.091, 1811]
[442.485, 1816]
[442.878, 1822]
[443.272, 1823]
[443.665, 1815]
[444.059, 1818]
[444.452, 1815]
[444.845, 1830]
[445.239, 1824]
[445.633, 1834]
[446.026, 1844]
[446.42, 1825]
[446.813, 1836]
[447.207, 1825]
[447.6, 1817]
[447.994, 1830]
[448.388, 1838]
[448.781, 1835]
[449.175, 1849]
[449.568, 1826]
[449.962, 1849]
[450.356, 1833]
[450.749, 1841]
[451.143, 1859]
[451.537, 1857]
[451.931, 1852]
[452.324, 1851]
[452.718, 1844]
[453.112, 1846]
[453.506, 1855]
[453.899, 1852]
[454.293, 1854]
[454.687, 1866]
[455.081, 1862]
[455.475, 1851]
[455.868, 1873]
[456.262, 1862]
[456.656, 1866]
[457.05, 1862]
[457.444, 1868]
[457.838, 1870]
[458.232, 1870]
[458.626, 1873]
[459.02, 1887]
[459.414, 1888]
[459.808, 1887]
[460.202, 1887]
[460.596, 1887]
[460.99, 1885]
[461.384, 1893]
[461.778, 1889]
[462.172, 1888]
[462.566, 1897]
[462.96, 1898]
[463.354, 1901]
[463.748, 1897]
[464.142, 1899]
[464.536, 1904]
[464.931, 1904]
[465.325, 1912]
[465.719, 1914]
[466.113, 1913]
[466.507, 1918]
[466.902, 1925]
[467.296, 1912]
[467.69, 1921]
[468.084, 1919]
[468.478, 1909]
[468.873, 1925]
[469.267, 1927]
[469.661, 1928]
[470.056, 1938]
[470.45, 1929]
[470.844, 1926]
[471.239, 1943]
[471.633, 1939]
[472.027, 1936]
[472.422, 1948]
[472.816, 1943]
[473.211, 1952]
[473.605, 1954]
[474, 1953]
[474.394, 1963]
[474.788, 1974]
[475.183, 1977]
[475.577, 1952]
[475.972, 1966]
[476.366, 1975]
[476.761, 1989]
[477.155, 1972]
[477.55, 1975]
[477.945, 1988]
[478.339, 1978]
[478.734, 1986]
[479.128, 1985]
[479.523, 1984]
[479.918, 1982]
[480.312, 1990]
[480.707, 1998]
[481.102, 1996]
[481.496, 2007]
[481.891, 2005]
[482.286, 2018]
[482.68, 2009]
[483.075, 2019]
[483.47, 2027]
[483.865, 2022]
[484.259, 2008]
[484.654, 2037]
[485.049, 2023]
[485.444, 2055]
[485.839, 2035]
[486.234, 2041]
[486.628, 2036]
[487.023, 2025]
[487.418, 2037]
[487.813, 2037]
[488.208, 2061]
[488.603, 2053]
[488.998, 2057]
[489.393, 2063]
[489.788, 2067]
[490.183, 2065]
[490.578, 2065]
[490.973, 2079]
[491.368, 2073]
[491.763, 2065]
[492.158, 2074]
[492.553, 2055]
[492.948, 2060]
[493.343, 2085]
[493.738, 2090]
[494.133, 2092]
[494.528, 2072]
[494.923, 2077]
[495.318, 2093]
[495.714, 2098]
[496.109, 2094]
[496.504, 2091]
[496.899, 2125]
[497.294, 2100]
[497.689, 2101]
[498.085, 2111]
[498.48, 2121]
[498.875, 2115]
[499.27, 2109]
[499.666, 2146]
[500.061, 2136]
[500.456, 2138]
[500.852, 2136]
[501.247, 2122]
[501.642, 2142]
[502.038, 2129]
[502.433, 2151]
[502.828, 2170]
[503.224, 2164]
[503.619, 2175]
[504.015, 2154]
[504.41, 2157]
[504.806, 2170]
[505.201, 2162]
[505.596, 2202]
[505.992, 2184]
[506.387, 2183]
[506.783, 2208]
[507.178, 2187]
[507.574, 2189]
[507.97, 2217]
[508.365, 2183]
[508.761, 2196]
[509.156, 2211]
[509.552, 2207]
[509.947, 2192]
[510.343, 2214]
[510.739, 2203]
[511.134, 2242]
[511.53, 2221]
[511.926, 2243]
[512.321, 2240]
[512.717, 2218]
[513.113, 2243]
[513.509, 2244]
[513.904, 2262]
[514.3, 2250]
[514.696, 2258]
[515.092, 2254]
[515.487, 2269]
[515.883, 2228]
[516.279, 2246]
[516.675, 2274]
[517.071, 2277]
[517.467, 2259]
[517.862, 2270]
[518.258, 2261]
[518.654, 2284]
[519.05, 2282]
[519.446, 2291]
[519.842, 2286]
[520.238, 2290]
[520.634, 2305]
[521.03, 2324]
[521.426, 2287]
[521.822, 2282]
[522.218, 2291]
[522.614, 2313]
[523.01, 2282]
[523.406, 2341]
[523.802, 2320]
[524.198, 2315]
[524.594, 2338]
[524.99, 2333]
[525.387, 2339]
[525.783, 2321]
[526.179, 2345]
[526.575, 2343]
[526.971, 2342]
[527.367, 2363]
[527.764, 2364]
[528.16, 2372]
[528.556, 2357]
[528.952, 2359]
[529.348, 2381]
[529.745, 2377]
